10,네오시스,네오시스 순면이좋은날 울트라슬림 팬티라이너 롱,https://post-phinf.pstatic.net/MjAyMTAzMjNfOSAg/MDAxNjE2NDc5ODEwMzAx.65yciFKHT6aqC_C1qUXPlspAP64qLDZ6TS5vizi_6TQg.MpnDT7hHhz1nTBDnYhdreH89WHDUf3r0Eb6o2x5z5hwg.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.149', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.125', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '1.469', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.059', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.134', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.357', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.174', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.994', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.315', ['']]","['노나날', 'Nonanal', '0.763', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.518', ['']]","['데카날', 'Decanal', '0.753', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '0.930', ['']]","['테트라데칸', 'Tetradecanen', '6.202', ['']]","['n-펜타데칸', 'n-Pentadecane', '1.301', ['']]","['n-헥사데칸', 'n-Hexadecane', '8.106', ['']]","['에탄올', 'ethanol', '0.341', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]",,,,,,,,,,,,,,,,,,
11,네오시스,네오시스 소프트앤퀵 슈퍼울트라슬림 중형,https://post-phinf.pstatic.net/MjAyMTAzMjNfMjA4/MDAxNjE2NDc5NTA4Mzc1.YznxoyCbnaz7JzVB-RMOKY-ANTkbSNrxkAF9ZGpota4g.MIUbEeHd-TtFT5Ug1R6P_eDxKwxKcu3MbvaoCmwqoNYg.PNG/image.png?type=w1200,"['톨루엔', 'Toluene', '0.338', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '0.307', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.246', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.123', ['']]","['노나날', 'Nonanal', '1.814', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '3.382', ['']]","['데카날', 'Decanal', '1.969', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '1.475', ['']]","['테트라데칸', 'Tetradecanen', '13.558', ['']]","['n-펜타데칸', 'n-Pentadecane', '3.196', ['']]","['n-헥사데칸', 'n-Hexadecane', '18.293', ['']]",,,,,,,,,,,,,,,,,,,,,,,,
12,디어스킨,디어스킨 울트라슬림 중형 날개형,https://post-phinf.pstatic.net/MjAyMTAzMjNfNzkg/MDAxNjE2NDc4NTAwNjYw.dD0KxKhP79AHTQzqtxkuYa2lBOiDLmrWiIYcSnsYTuAg.mdTX_-l2K8xyE2DSdN08UbShc9wOYgW-pxDA1qSR_Dgg.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.201', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.961', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '0.748', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.259', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.432', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.346', ['']]","['노나날', 'Nonanal', '0.863', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '2.101', ['']]","['데카날', 'Decanal', '3.111', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '4.059', ['']]","['테트라데칸', 'Tetradecanen', '7.457', ['']]","['n-펜타데칸', 'n-Pentadecane', '8.353', ['']]","['n-헥사데칸', 'n-Hexadecane', '9.646', ['']]",,,,,,,,,,,,,,,,,,,,,,
13,디어스킨,디어스킨 팬티라이너 슈퍼롱,https://post-phinf.pstatic.net/MjAyMTAzMjNfMTE1/MDAxNjE2NDc4MjE3ODE4.IbK9sbPvQEESaQ9ksCuImIuoEGneKHZjke1kJohZcWgg.4FcKVKrflbOhELZLxF1tXu08Mbe1ZGbKScQGs9CIEWIg.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.137', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.401', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['에틸벤젠', 'ethylbenzene', '0.039', ['암 유발', '유전적 결함 발생 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '2.842', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['옥탄', 'octane', '0.147', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.527', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.205', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.774', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.331', ['']]","['노나날', 'Nonanal', '0.595', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.014', ['']]","['데카날', 'Decanal', '1.184', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '1.541', ['']]","['테트라데칸', 'Tetradecanen', '3.640', ['']]","['n-펜타데칸', 'n-Pentadecane', '3.984', ['']]","['n-헥사데칸', 'n-Hexadecane', '5.717', ['']]","['아세톤', 'acetone', '0.290', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,
14,더건강한,더건강한 순수한면 팬티라이너 슈퍼롱,https://post-phinf.pstatic.net/MjAyMTAzMjNfODcg/MDAxNjE2NDc3OTEwNjU1.l80Ok1G1TQRNZvzMxYE0BNdeTOz7daYI8lWz-7qCrRMg.B3Fl_YwQJHtYsZRcsSr6iK8bizK50WLaiBbh1qLjhKUg.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.080', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.389', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '1.374', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.060', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.060', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.309', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.110', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.045', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.249', ['']]","['노나날', 'Nonanal', '0.726', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.966', ['']]","['데카날', 'Decanal', '1.208', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '1.662', ['']]","['테트라데칸', 'Tetradecanen', '3.096', ['']]","['n-펜타데칸', 'n-Pentadecane', '3.046', ['']]","['n-헥사데칸', 'n-Hexadecane', '3.474', ['']]",,,,,,,,,,,,,,,,,,,
15,메이앤준,메이앤준 입는 오버나이트,https://post-phinf.pstatic.net/MjAyMTAzMjNfMTUw/MDAxNjE2NDc0NzU1NjUy.yNlMa86Uag1Wx82px7vKQNSV1bwtGK8vDUyARX10Txcg.lK4FcCTCr7BUKHaegcnr0ugOtZanhWtnUA-444i_fN0g.PNG/image.png?type=w1200,"['헥산', 'Hexane', '1.401', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '10.939', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['에틸벤젠', 'ethylbenzene', '0.841', ['암 유발', '유전적 결함 발생 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '1.121', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '2.656', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '1.815', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.695', ['']]","['운데칸', 'Undecane', '4.897', ['']]","['노나날', 'Nonanal', '11.731', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '26.033', ['']]","['데카날', 'Decanal', '7.017', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '23.097', ['']]","['테트라데칸', 'Tetradecanen', '50.749', ['']]","['n-펜타데칸', 'n-Pentadecane', '22.963', ['']]","['n-헥사데칸', 'n-Hexadecane', '48.629', ['']]","['에탄올', 'ethanol', '2.719', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]",,,,,,,,,,,,,,,,,,,
16,건강한,건강한 순수한면 울트라슬림 중형 날개형,https://post-phinf.pstatic.net/MjAyMTAzMjNfNzEg/MDAxNjE2NDc0NDc2NTgx.it5oe9gqNbeyb27Ft38KV6XIuJL4uDWrQxTfu521uSwg.WXkBD2x38_uf6SdWnf2OFHFIXfSC8CB3ZbXgz5S4DKwg.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.228', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '1.446', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '2.640', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['옥탄', 'octane', '0.227', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.596', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.448', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.426', ['']]","['노나날', 'Nonanal', '1.221', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.675', ['']]","['데카날', 'Decanal', '3.152', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '3.606', ['']]","['테트라데칸', 'Tetradecanen', '6.983', ['']]","['n-펜타데칸', 'n-Pentadecane', '8.659', ['']]","['n-헥사데칸', 'n-Hexadecane', '10.362', ['']]",,,,,,,,,,,,,,,,,,,,,
17,더,더 건강한 순수한면 팬티라이너 코튼향 슈퍼롱,https://post-phinf.pstatic.net/MjAyMTAzMjNfMTE2/MDAxNjE2NDc0MDc1ODIy.SIafi09_gsAIaF_TdeZX15v71NQzf1A-mb-hCqc-dj4g.f9_c6JcQqrf_iXNmp242r9FwdzbWOch18SRvHfhHymkg.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.201', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.680', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['에틸벤젠', 'ethylbenzene', '0.056', ['암 유발', '유전적 결함 발생 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.123', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '2.423', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-부타논', '2-Butanone', '0.078', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.179', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.547', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.179', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.620', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.369', ['']]","['노나날', 'Nonanal', '0.883', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.240', ['']]","['데카날', 'Decanal', '1.140', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['나프탈렌', 'Naphthalene', '0.045', ['암 유발', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '1.832', ['']]","['테트라데칸', 'Tetradecanen', '4.189', ['']]","['n-펜타데칸', 'n-Pentadecane', '2.760', ['']]","['n-헥사데칸', 'n-Hexadecane', '4.694', ['']]",,,,,,,,,,,,,,,,
18,순수한면,순수한면 제로 팬티라이너 슈퍼롱,https://post-phinf.pstatic.net/MjAyMTAzMjNfMjcw/MDAxNjE2NDczNzcxODg0.MxUh4ceH7eqKAVHxXRNZWWAtIECs2uBRtlS9w6ox0Zwg.T448fBUed8u_Vx1pGKqDvZN1dbR_NEVndGngr3UeB1Ug.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.049', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.558', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '1.460', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.078', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.088', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.331', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.078', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.148', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.312', ['']]","['노나날', 'Nonanal', '0.565', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.023', ['']]","['데카날', 'Decanal', '1.821', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '2.183', ['']]","['테트라데칸', 'Tetradecanen', '3.060', ['']]","['n-펜타데칸', 'n-Pentadecane', '3.975', ['']]","['n-헥사데칸', 'n-Hexadecane', '4.589', ['']]",,,,,,,,,,,,,,,,,,,
19,순수한면,순수한면 팬티라이너 슈퍼롱,https://post-phinf.pstatic.net/MjAyMTAzMjNfNiAg/MDAxNjE2NDcyOTY4NDky.Y5_J8d6-KK76HWEjsG_YBn6z3fqGghMDQtlk6rBueJgg.661RKgsUjKpl4bitB4RCgteb-d-5zy3Bw2zlmQ7AGuwg.PNG/image.png?type=w1200,"['헥산', 'Hexane', '0.085', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '0.529', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '2.136', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['옥탄', 'octane', '0.133', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.389', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', 'decane', '0.171', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.578', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.419', ['']]","['노나날', 'Nonanal', '0.656', ['수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '1.255', ['']]","['데카날', 'Decanal', '2.071', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '2.244', ['']]","['테트라데칸', 'Tetradecanen', '3.004', ['']]","['n-펜타데칸', 'n-Pentadecane', '3.859', ['']]","['n-헥사데칸', 'n-Hexadecane', '4.220', ['']]","['1-부탄올', '1-butanol', '0.415', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,,,
